anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
integrated physiology,integrative physiology,biomedical physiology and kinesiology,0.8745468854904175,0.7873729467391968
visual informatics,graphic,visualization,0.8200976848602295,0.9155858159065247
technology management and technopreneurship,technology management and business,technology management and innovation,0.9189276695251465,0.9019851684570312
motu economic & public policy research trust,motu economic and public policy research,public policy research institute,0.8143032193183899,0.7183536887168884
classics and religious studies,classical studies,classics and ancient history,0.8849668502807617,0.8693618774414062
beckman institute,beckman research institute,michener institute,0.9382485151290894,0.7261459231376648
east asian languages,east asian languages and cultures,asian and european languages,0.9516756534576416,0.8455010056495667
small animals,animal behavior,companion animals,0.80661541223526,0.838158130645752
degree in humanities,graduate humanities,higher humanities,0.9381847381591797,0.9240634441375732
oversight of communication,communication coordination,it and communications,0.8562186360359192,0.8641945123672485
climate studies,climate sciences,climate research,0.9332813024520874,0.953744649887085
heidelberg center for ibero-american studies,"spanish, portuguese and latin american studies",iberian and ibero-american studies,0.7156969308853149,0.818570077419281
environmental sciences and management,environmental science & management,"environmental science, engineering and management",0.9792677164077759,0.959428608417511
engineering department enzo ferrari,enzo ferrari engineering department,engine development,0.9774900674819946,0.7212749719619751
computer science and biology,"computer science, biology",computer science and bioinformatics,0.9894905090332031,0.9175072312355042
niosh,nokia oy,nihes,0.7673574686050415,0.7702875733375549
food and nutrition science,food science and nutrition,food science and physiology,0.9954728484153748,0.9499249458312988
"qingdao software, computer science and technology",computer science and software,computer science & application,0.8417999148368835,0.8335345387458801
english language teaching unit,english language teaching,english language and teaching,0.9304293394088745,0.9260815382003784
marketing analytics,marketing and business analytics,marketing strategies,0.9392223954200745,0.7588217258453369
clinical bacteriology,clinical microbiology,medical bacteriology,0.9478990435600281,0.9126481413841248
pediatric cardiology department,pediatric cardiology,"pediatrics, division of cardiology",0.9551860094070435,0.9410386681556702
beijing biotechnology,"national biological sciences, beijing",btech biotechnology,0.8854658603668213,0.7561092972755432
computing education,educational computing,computer education and educational technology,0.944846510887146,0.9354346990585327
psychobiology,psychophysiology,,0.9540398120880127,
quality assurance laboratory,quality control laboratory,quality and usability lab,0.9540766477584839,0.8813720941543579
sports biomechanics,sport biomechanics,sports science and clinical biomechanics,0.9771323800086975,0.8431819677352905
curin,cau,curam,0.704095721244812,0.7416568994522095
soil science and land resources,soil science and land resource,soil science and water resources,0.992245078086853,0.9489525556564331
"accounting, administrative and economic sciences","accounting, economic and administrative sciences","administration, accounting and economic sciences",0.9978998899459839,0.9742645621299744
translational medicine and therapeutics,translational medicine,medicine translational,0.9706348776817322,0.9340617060661316
biocatalysis,technical biocatalysis,biointeraction,0.907800555229187,0.8002867698669434
women's and children's health,women's & children's health,and maternal and child health,0.9972261190414429,0.9233420491218567
"plant, soil, and microbial sciences","plant, soil and microbial sciences",plant biology and soil sciences,0.996467649936676,0.9484586715698242
sciences and technologies,sciences and technology,contemporary sciences and technologies,0.986572265625,0.9512268304824829
statistics division,statistics unit,it department and statistics,0.9156359434127808,0.8378463983535767
electrical and photonics engineering,electrical and electronics engineering,electical engineering,0.9376868009567261,0.9450136423110962
educational direction,educational,educatio,0.8782972693443298,0.8706717491149902
corps of engineers,mechanical engineers,engineering organization,0.839661717414856,0.8490090370178223
civil and construction engineering,civil & construction engineering,project and construction engineering,0.9971720576286316,0.9294160008430481
navojoa unit,uabjo,portoviejo,0.6464036703109741,0.7152144908905029
leibniz supercomputing centre,jülich supercomputing centre,center of computer science,0.7906858921051025,0.7038544416427612
sports and exercise science,sports & exercise science,"sport, recreation and exercise science",0.9971984624862671,0.9514884948730469
national security,national and homeland security,security and global affairs,0.9663925170898438,0.8074057102203369
pharmaceutical and chemical engineering,pharmaceutical engineering,chemical engineering and pharmaceutical technology,0.9560985565185547,0.9452219009399414
haslam business,business,asper business,0.7784819602966309,0.7910730242729187
iit kharagpur,indian technology kharagpur,isarh,0.8377796411514282,0.7661444544792175
"nursing, physiotherapy and podiatry",nursing and podiatry,pediatics,0.9446460604667664,0.8593664169311523
maternal fetal medicine,maternal and fetal medicine,clinical medicine - obstetrics and gynaecology,0.9747327566146851,0.8137765526771545
interdisciplinary neuroscience,interdisciplinary neuroscience program,clinical and experimental neuroscience,0.9229509234428406,0.9160097241401672
public,publico,socs,0.8445543050765991,0.7417917251586914
culham centre for fusion energy,fusion energy,fusion energy research center,0.7337815761566162,0.8286195397377014
datacite,databases,computer information,0.7709177732467651,0.7747262120246887
patologia ambiental e experimental,patologia experimental e comparada,pedagogy of experimental sciences,0.8125496506690979,0.8148263692855835
surface and plasma science,plasma physics,space and plasma sciences,0.7946710586547852,0.8576224446296692
internee,athletic,kneu,0.6983226537704468,0.7301201224327087
viticulture,viticulture & enology,agricultural and wine sciences,0.8860857486724854,0.7892688512802124
laboratory of genetic engineering,laboratory of genetics,laboratory of genetics and genomics,0.9584373831748962,0.944227933883667
